Language, Flag Name, Flag Image Src
Ligurian, Flag of Liguria, http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Liguria.svg/45px-Flag_of_Liguria.svg.png
Limbu, Flag of Limbuwan, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Flag_of_Limbuwan.svg/45px-Flag_of_Limbuwan.svg.png
Limburgish, Flag of Limburg (Netherlands), http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Flag_of_Limburg_%28Netherlands%29.svg/45px-Flag_of_Limburg_%28Netherlands%29.svg.png
Lingala, Flag of the Democratic Republic of the Congo, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/45px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png
Lithuanian, Flag of Lithuania, http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/45px-Flag_of_Lithuania.svg.png
Livonian, Flag of the Livonians, http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_the_Livonians.svg/45px-Flag_of_the_Livonians.svg.png
Lojban, Lojban logo, http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Lojban_logo.svg/45px-Lojban_logo.svg.png
Lombard, Flag of Lombardy, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Lombardy.svg/45px-Flag_of_Lombardy.svg.png
Louisiana Creole French, Flag of Louisiana, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_Louisiana.svg/45px-Flag_of_Louisiana.svg.png
Lower Sorbian, Flag of Sorbs, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Sorbs.svg/45px-Flag_of_Sorbs.svg.png
Ludian, Ludic flag, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Ludic_flag.svg/45px-Ludic_flag.svg.png
Lule Sami, Sami flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sami_flag.svg/45px-Sami_flag.svg.png
Luxembourgish, Flag of Luxembourg, http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/45px-Flag_of_Luxembourg.svg.png
Macedonian, Flag of North Macedonia, http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_North_Macedonia.svg/45px-Flag_of_North_Macedonia.svg.png
Maguindanao, Flag of Maguindanao, http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_Maguindanao.svg/45px-Flag_of_Maguindanao.svg.png
Malagasy, Flag of Madagascar, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Madagascar.svg/45px-Flag_of_Madagascar.svg.png
Malay, Flag of Malaysia, http://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/45px-Flag_of_Malaysia.svg.png
Malayalam, Malayali flag, http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Malayali_flag.svg/45px-Malayali_flag.svg.png
Maltese, Flag of Malta, http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/45px-Flag_of_Malta.svg.png
Manchu, Flag of China (1862–1889), http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Flag_of_China_%281862%E2%80%931889%29.svg/45px-Flag_of_China_%281862%E2%80%931889%29.svg.png
Mandarin, Flag of the People's Republic of China, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/45px-Flag_of_the_People%27s_Republic_of_China.svg.png
Mansi, Flag of Yugra, http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Flag_of_Yugra.svg/45px-Flag_of_Yugra.svg.png
Manx, Flag of the Isle of Man, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_the_Isle_of_Man.svg/45px-Flag_of_the_Isle_of_Man.svg.png
Maori, Flag of New Zealand, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/45px-Flag_of_New_Zealand.svg.png
Mapudungun, Flag of the Mapuches, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_the_Mapuches.svg/45px-Flag_of_the_Mapuches.svg.png
Marathi, Flag of India, http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/45px-Flag_of_India.svg.png
Marshallese, Flag of the Marshall Islands, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/45px-Flag_of_the_Marshall_Islands.svg.png
Mauritian Creole, Flag of Mauritius, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Mauritius.svg/45px-Flag_of_Mauritius.svg.png
Megleno-Romanian, Flag of Greek Macedonia, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Greek_Macedonia.svg/45px-Flag_of_Greek_Macedonia.svg.png
Mi'kmaq, Mikmaq State Flag, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Mikmaq_State_Flag.svg/45px-Mikmaq_State_Flag.svg.png
Michif, Metis Blue, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Metis_Blue.svg/45px-Metis_Blue.svg.png
Middle Dutch, Flag of the prince-bishopric of Utrecht, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flag_of_the_prince-bishopric_of_Utrecht.svg/45px-Flag_of_the_prince-bishopric_of_Utrecht.svg.png
Middle English, Flag of England, http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_England.svg/45px-Flag_of_England.svg.png
Middle French, Royal Flag of France, http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Royal_Flag_of_France.svg/45px-Royal_Flag_of_France.svg.png
Middle Irish, Flag of Leinster, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_Leinster.svg/45px-Flag_of_Leinster.svg.png
Mikasuki, Flag of the Miccosukee Tribe of Indians of Florida, http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_the_Miccosukee_Tribe_of_Indians_of_Florida.svg/45px-Flag_of_the_Miccosukee_Tribe_of_Indians_of_Florida.svg.png
Min Nan, Flag of the Republic of China, http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_the_Republic_of_China.svg/45px-Flag_of_the_Republic_of_China.svg.png
Mirandese, Bandeira-de-Miranda-do-Douro, http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Bandeira-de-Miranda-do-Douro.png/45px-Bandeira-de-Miranda-do-Douro.png
Miskito, Flag of Nicaragua, http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Nicaragua.svg/45px-Flag_of_Nicaragua.svg.png
Moksha, Flag of the Moksha people, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Flag_of_the_Moksha_people.svg/45px-Flag_of_the_Moksha_people.svg.png
Mongolian, Flag of Mongolia, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Mongolia.svg/45px-Flag_of_Mongolia.svg.png
Moroccan Arabic, Flag of Morocco, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/45px-Flag_of_Morocco.svg.png
Muong, Flag of Muong Autonomous Region, http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Flag_of_Muong_Autonomous_Region.svg/45px-Flag_of_Muong_Autonomous_Region.svg.png
Najdi Arabic, Flag of the Emirate of Ha'il, http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_the_Emirate_of_Ha%27il.svg/45px-Flag_of_the_Emirate_of_Ha%27il.svg.png
Nauruan, Flag of Nauru, http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Nauru.svg/45px-Flag_of_Nauru.svg.png
Navajo, Navajo flag, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Navajo_flag.svg/45px-Navajo_flag.svg.png
Neapolitan, Flag of Campania, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Flag_of_Campania.png/45px-Flag_of_Campania.png
Nepali, Flag of Nepal, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/20px-Flag_of_Nepal.svg.png
Nigerian Pidgin, Flag of Nigeria, http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/45px-Flag_of_Nigeria.svg.png
Niuean, Flag of Niue, http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Niue.svg/45px-Flag_of_Niue.svg.png
Norman, Flag of Normandie, http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Normandie.svg/45px-Flag_of_Normandie.svg.png
Northern Altai, Flag of Altai Krai, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Altai_Krai.svg/45px-Flag_of_Altai_Krai.svg.png
Northern Kurdish, Flag of Kurdistan, http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_Kurdistan.svg/45px-Flag_of_Kurdistan.svg.png
Northern Sami, Sami flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sami_flag.svg/45px-Sami_flag.svg.png
Norwegian Bokmål, Flag of Norway, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/45px-Flag_of_Norway.svg.png
Norwegian Nynorsk, Flag of Norway, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/45px-Flag_of_Norway.svg.png
Novial, Flag of Novial, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Novial.svg/45px-Flag_of_Novial.svg.png
Occitan, Flag of Occitania (with star), http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Occitania_%28with_star%29.svg/45px-Flag_of_Occitania_%28with_star%29.svg.png
Okinawan, Flag of Okinawa Prefecture, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Okinawa_Prefecture.svg/45px-Flag_of_Okinawa_Prefecture.svg.png
Old Armenian, Standard of the Artaxiad dynasty, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Standard_of_the_Artaxiad_dynasty.svg/45px-Standard_of_the_Artaxiad_dynasty.svg.png
Old English, Flag of Wessex, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_Wessex.svg/45px-Flag_of_Wessex.svg.png
Old French, Royal Flag of France, http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Royal_Flag_of_France.svg/45px-Royal_Flag_of_France.svg.png
Old Georgian, Kartli - drosha jvari, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Kartli_-_drosha_jvari.svg/45px-Kartli_-_drosha_jvari.svg.png
Old Irish, Triskele-Symbol1, http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Triskele-Symbol1.svg/45px-Triskele-Symbol1.svg.png
Old Occitan, Flag of Provence, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_Provence.svg/45px-Flag_of_Provence.svg.png
Old Portuguese, PortugueseFlag1143, http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/PortugueseFlag1143.svg/45px-PortugueseFlag1143.svg.png
Omani Arabic, Flag of Oman, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Oman.svg/45px-Flag_of_Oman.svg.png
Ossetian, Flag of North Ossetia, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_North_Ossetia.svg/45px-Flag_of_North_Ossetia.svg.png
Ottoman Turkish, Ottoman flag, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Ottoman_flag.svg/45px-Ottoman_flag.svg.png
Papiamentu, Flag of the Netherlands Antilles, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_the_Netherlands_Antilles.png/45px-Flag_of_the_Netherlands_Antilles.png
Pashto, Flag of Afghanistan (2013–2021), http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Flag_of_Afghanistan_%282013%E2%80%932021%29.svg/45px-Flag_of_Afghanistan_%282013%E2%80%932021%29.svg.png
Pennsylvania German, Flag of Pennsylvania, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Pennsylvania.svg/45px-Flag_of_Pennsylvania.svg.png
Persian, Flag of Iran, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/45px-Flag_of_Iran.svg.png
Phalura, Flag of Khyber Pakhtunkhwa, http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Khyber_Pakhtunkhwa.svg/45px-Flag_of_Khyber_Pakhtunkhwa.svg.png
Picard, Picardy flag, http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Picardy_flag.png/45px-Picardy_flag.png
Pichinglis, Flag of Equatorial Guinea, http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/45px-Flag_of_Equatorial_Guinea.svg.png
Piedmontese, Flag of Piedmont, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Piedmont.svg/45px-Flag_of_Piedmont.svg.png
Pijin, Flag of the Solomon Islands, http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Solomon_Islands.svg/45px-Flag_of_the_Solomon_Islands.svg.png
Pite Sami, Sami flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sami_flag.svg/45px-Sami_flag.svg.png
Polish, Flag of Poland, http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_Poland.svg/45px-Flag_of_Poland.svg.png
Portuguese, Flag of Portuguese language (PT-BR), http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Portuguese_language_%28PT-BR%29.svg/45px-Flag_of_Portuguese_language_%28PT-BR%29.svg.png
Quechua, Quechuas flag, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Quechuas_flag.svg/45px-Quechuas_flag.svg.png
Rakhine, Flag of Rakhine, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Rakhine.svg/45px-Flag_of_Rakhine.svg.png
Rapa Nui, Flag of Rapa Nui, Chile, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Flag_of_Rapa_Nui%2C_Chile.svg/45px-Flag_of_Rapa_Nui%2C_Chile.svg.png
Rohingya, Rohingya flag, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Rohingya_flag.png/45px-Rohingya_flag.png
Romagnol, Flag of San Marino, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_San_Marino.svg/45px-Flag_of_San_Marino.svg.png
Romani, Flag of the Romani people, http://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_the_Romani_people.svg/45px-Flag_of_the_Romani_people.svg.png
Romanian, Flag of Romania, http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/45px-Flag_of_Romania.svg.png
Romansch, Flag of Canton of Graubünden, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Canton_of_Graub%C3%BCnden.svg/45px-Flag_of_Canton_of_Graub%C3%BCnden.svg.png
Russian, Flag of Russia, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/45px-Flag_of_Russia.svg.png
Rusyn, Flag of Rusyns 2007, http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Rusyns_2007.svg/45px-Flag_of_Rusyns_2007.svg.png
Samoan, Flag of Samoa, http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Samoa.svg/45px-Flag_of_Samoa.svg.png
Sardinian, Flag of Sardinia, Italy, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Sardinia%2C_Italy.svg/45px-Flag_of_Sardinia%2C_Italy.svg.png
Saterland Frisian, Saterland flag, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Saterland_flag.svg/45px-Saterland_flag.svg.png
Scots, Flag of Scotland, http://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_Scotland.svg/45px-Flag_of_Scotland.svg.png
Scottish Gaelic, Royal Banner of Scotland, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Royal_Banner_of_Scotland.svg/45px-Royal_Banner_of_Scotland.svg.png
Serbo-Croatian, Serbo-Croatian language flag, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Serbo-Croatian_language_flag.gif/45px-Serbo-Croatian_language_flag.gif
Seychellois Creole, Flag of Seychelles, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Seychelles.svg/45px-Flag_of_Seychelles.svg.png
Shan, Flag of the Shan State, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_the_Shan_State.svg/45px-Flag_of_the_Shan_State.svg.png
Sicilian, Flag of Sicily, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_Sicily.svg/45px-Flag_of_Sicily.svg.png
Sikkimese, Flag of Sikkim (1967-1975), http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Flag_of_Sikkim_%281967-1975%29.svg/45px-Flag_of_Sikkim_%281967-1975%29.svg.png
Silesian, POL województwo śląskie flag, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/POL_wojew%C3%B3dztwo_%C5%9Bl%C4%85skie_flag.svg/45px-POL_wojew%C3%B3dztwo_%C5%9Bl%C4%85skie_flag.svg.png
Sindhi, Flag of Sindh, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_Sindh.svg/45px-Flag_of_Sindh.svg.png
Sinhalese, Flag of Sri Lanka, http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Sri_Lanka.svg/45px-Flag_of_Sri_Lanka.svg.png
Skolt Sami, Sami flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sami_flag.svg/45px-Sami_flag.svg.png
Slovak, Flag of Slovakia, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/45px-Flag_of_Slovakia.svg.png
Slovene, Flag of Slovenia, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/45px-Flag_of_Slovenia.svg.png
Somali, Flag of Somalia, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/45px-Flag_of_Somalia.svg.png
Sotho, Flag of Lesotho, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/45px-Flag_of_Lesotho.svg.png
South Levantine Arabic, Flag of Palestine, http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Palestine.svg/45px-Flag_of_Palestine.svg.png
Southern Altai, Flag of Altai Republic, http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Altai_Republic.svg/45px-Flag_of_Altai_Republic.svg.png
Southern Kurdish, Flag of Kurdistan, http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_Kurdistan.svg/45px-Flag_of_Kurdistan.svg.png
Southern Sami, Sami flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sami_flag.svg/45px-Sami_flag.svg.png
Spanish, Flag of Spanish language (ES-MX), http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Spanish_language_%28ES-MX%29.svg/45px-Flag_of_Spanish_language_%28ES-MX%29.svg.png
Sranan Tongo, Flag of Suriname, http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_of_Suriname.svg/45px-Flag_of_Suriname.svg.png
Sudanese Arabic, Flag of Sudan, http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Sudan.svg/45px-Flag_of_Sudan.svg.png
Swabian, Flagge Königreich Württemberg, http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Flagge_K%C3%B6nigreich_W%C3%BCrttemberg.svg/45px-Flagge_K%C3%B6nigreich_W%C3%BCrttemberg.svg.png
Swahili, Flag of Kenya, http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/45px-Flag_of_Kenya.svg.png
Swedish, Flag of Sweden, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Sweden.svg/45px-Flag_of_Sweden.svg.png
Tagalog, Flag of the Philippines, http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/45px-Flag_of_the_Philippines.svg.png
Tahitian, Flag of French Polynesia, http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_French_Polynesia.svg/45px-Flag_of_French_Polynesia.svg.png
Tajik, Flag of Tajikistan, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Tajikistan.svg/45px-Flag_of_Tajikistan.svg.png
Tarantino, Flag of Apulia, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Apulia.svg/45px-Flag_of_Apulia.svg.png
Tatar, Flag of Tatarstan, http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_Tatarstan.svg/45px-Flag_of_Tatarstan.svg.png
Tausug, Late 19th Century Flag of Sulu, http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Late_19th_Century_Flag_of_Sulu.svg/45px-Late_19th_Century_Flag_of_Sulu.svg.png
Telugu, Flag of India, http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/45px-Flag_of_India.svg.png
Ter Sami, Sami flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sami_flag.svg/45px-Sami_flag.svg.png
Tetum, Flag of East Timor, http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_East_Timor.svg/45px-Flag_of_East_Timor.svg.png
Thai, Flag of Thailand, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/45px-Flag_of_Thailand.svg.png
Tibetan, Flag of Tibet, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flag_of_Tibet.svg/45px-Flag_of_Tibet.svg.png
Tigrinya, Flag of Eritrea, http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/45px-Flag_of_Eritrea.svg.png
Tok Pisin, Flag of Papua New Guinea, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Flag_of_Papua_New_Guinea.svg/45px-Flag_of_Papua_New_Guinea.svg.png
Tokelauan, Flag of Tokelau, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Flag_of_Tokelau.svg/45px-Flag_of_Tokelau.svg.png
Tongan, Flag of Tonga, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Tonga.svg/45px-Flag_of_Tonga.svg.png
Tourangeau, Flag of Touraine, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Flag_of_Touraine.svg/45px-Flag_of_Touraine.svg.png
Transylvanian Saxon, Flag of Romania, http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/45px-Flag_of_Romania.svg.png
Tswana, Flag of Botswana, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/45px-Flag_of_Botswana.svg.png
Tundra Nenets, Flag of Nenets Autonomous District, http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Flag_of_Nenets_Autonomous_District.svg/45px-Flag_of_Nenets_Autonomous_District.svg.png
Tunisian Arabic, Flag of Tunisia, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/45px-Flag_of_Tunisia.svg.png
Turkish, Flag of Turkey, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/45px-Flag_of_Turkey.svg.png
Turkmen, Flag of Turkmenistan, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Turkmenistan.svg/45px-Flag_of_Turkmenistan.svg.png
Tuvaluan, Flag of Tuvalu, http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tuvalu.svg/45px-Flag_of_Tuvalu.svg.png
Tuvan, Flag of Tuva, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Tuva.svg/45px-Flag_of_Tuva.svg.png
Udmurt, Flag of Udmurtia, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Udmurtia.svg/45px-Flag_of_Udmurtia.svg.png
Ukrainian, Flag of Ukraine, http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/45px-Flag_of_Ukraine.svg.png
Ume Sami, Sami flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sami_flag.svg/45px-Sami_flag.svg.png
Upper Sorbian, Flag of Sorbs, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Sorbs.svg/45px-Flag_of_Sorbs.svg.png
Urdu, Flag of Pakistan, http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/45px-Flag_of_Pakistan.svg.png
Uyghur, Kokbayraq flag, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Kokbayraq_flag.svg/45px-Kokbayraq_flag.svg.png
Uzbek, Flag of Uzbekistan, http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/45px-Flag_of_Uzbekistan.svg.png
Venetian, Flag of Veneto, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Flag_of_Veneto.svg/45px-Flag_of_Veneto.svg.png
Veps, Flag of Vepsia, http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Vepsia.svg/45px-Flag_of_Vepsia.svg.png
Vietnamese, Flag of Vietnam, http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Vietnam.svg/45px-Flag_of_Vietnam.svg.png
Volga German, Flag of Volga Germans (version), http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Flag_of_Volga_Germans_%28version%29.svg/45px-Flag_of_Volga_Germans_%28version%29.svg.png
Votic, Votic Flag, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Votic_Flag.svg/45px-Votic_Flag.svg.png
Võro, Võrumaa lipp, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/V%C3%B5rumaa_lipp.svg/45px-V%C3%B5rumaa_lipp.svg.png
Walloon, Flag of Wallonia, http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_Wallonia.svg/45px-Flag_of_Wallonia.svg.png
Welsh, Flag of Wales, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Flag_of_Wales.svg/45px-Flag_of_Wales.svg.png
West Frisian, Frisian flag, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Frisian_flag.svg/45px-Frisian_flag.svg.png
Western Mari, Flag of Gornomariysky rayon, http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Flag_of_Gornomariysky_rayon.svg/45px-Flag_of_Gornomariysky_rayon.svg.png
Westrobothnian, Västerbottens län vapenflagga, http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/V%C3%A4sterbottens_l%C3%A4n_vapenflagga.svg/45px-V%C3%A4sterbottens_l%C3%A4n_vapenflagga.svg.png
Wolof, Flag of Senegal, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/45px-Flag_of_Senegal.svg.png
Yakut, Flag of Sakha, http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Flag_of_Sakha.svg/45px-Flag_of_Sakha.svg.png
Yola, Flag of Yola, http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Flag_of_Yola.svg/45px-Flag_of_Yola.svg.png
